province,risk_level,total_quakes,major_quakes_m3plus,nearest_fault_km,avg_magnitude,max_magnitude,min_magnitude,avg_depth,max_depth,risk_cluster,is_outlier
Surigao Del Sur,Medium,15905,3395,0.0,2.47,7.4,1.1,21.55,209.0,1,True
Davao Oriental,Medium,9080,3161,0.0,2.78,7.4,1.0,42.63,292.0,1,True
Surigao Del Norte,Medium,8094,1710,0.0,2.47,6.2,1.2,20.59,238.0,1,True
Davao Occidental,Medium,7787,4652,300.0,3.2,7.1,1.2,69.96,667.0,1,True
Batangas,Medium,5793,620,0.0,2.18,6.6,1.2,78.21,1068.0,1,True
Occidental Mindoro,Medium,5399,831,0.0,2.38,6.4,1.0,30.54,310.0,1,True
Cebu,Medium,3289,356,0.0,2.21,6.9,1.0,15.62,85.0,1,True
Cagayan,Medium,3123,811,0.0,2.6,6.3,1.3,18.9,224.0,1,True
Abra,Medium,2854,341,0.0,2.28,7.0,1.0,13.83,195.0,1,True
Eastern Samar,Medium,2668,905,0.0,2.76,6.5,1.4,19.95,193.0,1,True
Ilocos Norte,Medium,2593,504,0.0,2.45,5.7,1.1,18.4,333.0,1,True
Zambales,Medium,2352,323,0.0,2.3,6.1,1.1,27.57,172.0,1,True
Cotabato,Medium,2301,441,300.0,2.49,6.6,1.4,21.62,422.0,1,True
Masbate,Medium,1869,486,0.0,2.6,6.6,1.2,11.11,123.0,1,False
Ilocos Sur,Medium,1825,363,0.0,2.5,5.1,1.2,20.26,151.0,1,False
Negros Occidental,Medium,1766,276,0.0,2.44,5.1,1.0,18.19,142.0,1,False
Southern Leyte,Medium,1696,243,0.0,2.36,5.8,1.2,17.83,209.0,1,False
Davao Del Sur,Medium,1683,412,0.0,2.61,6.9,1.4,18.21,247.0,1,False
Agusan Del Sur,Medium,1593,188,0.0,2.31,5.3,1.1,24.87,175.0,1,False
Leyte,Medium,1580,286,0.0,2.46,5.8,1.2,11.53,188.0,1,False
Quezon,Medium,1534,235,0.0,2.34,5.5,1.2,13.44,135.0,1,False
Sarangani,Medium,1459,253,0.0,2.41,6.1,1.3,34.91,572.0,1,False
Sultan Kudarat,Medium,1387,270,0.0,2.5,7.1,1.2,38.24,686.0,1,False
Negros Oriental,Medium,1349,214,0.0,2.43,4.9,1.0,16.52,132.0,1,False
Davao De Oro,Medium,1248,128,300.0,2.26,6.0,1.2,20.56,165.0,1,False
Aurora,Medium,1242,137,0.0,2.26,5.1,1.2,16.44,102.0,1,False
Isabela,Medium,1203,235,0.0,2.48,5.5,1.2,24.72,158.0,1,False
Northern Samar,Medium,1179,309,0.0,2.59,5.7,1.2,25.34,175.0,1,False
Pangasinan,Medium,1165,230,0.0,2.46,5.5,1.2,27.56,211.0,1,False
Bohol,Medium,1064,90,0.0,2.23,5.9,1.2,20.98,587.0,1,False
Zamboanga Del Norte,Medium,1028,169,0.0,2.34,5.4,1.2,24.51,176.0,1,False
Batanes,Medium,995,550,47.55,3.11,6.7,1.4,29.12,219.0,1,False
Bukidnon,Medium,976,179,0.0,2.5,5.9,1.3,10.57,121.0,1,False
Camarines Sur,Low,768,113,0.0,2.29,4.5,1.2,14.73,102.0,1,False
Oriental Mindoro,Low,691,60,0.0,2.19,5.1,1.0,19.19,181.0,0,False
Agusan Del Norte,Low,680,122,0.0,2.44,5.8,1.3,18.06,117.0,1,False
La Union,Low,635,99,0.0,2.38,5.5,1.2,28.11,113.0,0,False
Catanduanes,Medium,610,183,72.34,2.68,6.2,1.3,23.03,235.0,1,False
Dinagat Islands,Low,555,75,19.73,2.34,5.7,1.3,44.69,214.0,0,False
Antique,Medium,529,173,0.0,2.76,5.1,1.3,15.17,137.0,1,False
Camarines Norte,Low,487,93,7.3,2.49,5.3,1.3,14.07,121.0,0,False
Zamboanga Del Sur,Low,486,65,0.0,2.3,4.9,1.2,21.49,122.0,0,False
Lanao Del Sur,Low,435,51,0.0,2.33,6.0,1.1,12.31,619.0,0,False
Sorsogon,Low,424,108,0.0,2.53,5.4,1.1,28.54,198.0,0,False
South Cotabato,Low,422,46,0.0,2.27,5.0,1.3,26.95,414.0,0,False
Nueva Vizcaya,Low,384,39,0.0,2.23,4.4,1.3,18.52,96.0,0,False
Bataan,Low,373,31,38.86,2.16,4.6,1.3,78.3,210.0,0,False
Biliran,Low,358,80,0.0,2.6,5.0,1.4,10.96,99.0,0,False
Apayao,Low,333,24,0.0,2.12,4.4,1.3,25.66,119.0,0,False
Benguet,Low,326,30,0.0,2.18,4.5,1.2,19.63,127.0,0,False
Davao Del Norte,Low,322,56,0.0,2.48,4.9,1.3,25.07,170.0,0,False
Iloilo,Low,310,54,0.0,2.48,4.9,1.3,17.78,101.0,0,False
Samar,Low,292,37,0.0,2.32,5.2,1.2,37.27,233.0,0,False
Maguindanao,Low,289,51,0.0,2.49,6.4,1.5,35.12,636.0,0,False
Albay,Low,276,46,0.0,2.36,4.8,1.3,22.35,107.0,0,False
Ifugao,Low,226,17,0.0,2.05,3.8,1.3,24.16,192.0,0,False
Nueva Ecija,Low,220,13,0.0,2.05,4.7,1.2,23.73,186.0,0,False
Tarlac,Low,218,31,0.0,2.24,5.7,1.2,54.19,191.0,0,False
Romblon,Low,209,43,0.0,2.47,4.8,1.2,14.65,201.0,0,False
Maguindanao Del Norte,Low,185,24,300.0,2.31,4.9,1.3,23.95,604.0,0,False
Mountain Province,Low,180,6,0.0,2.02,4.5,1.2,27.31,131.0,0,False
Palawan,Low,177,25,24.18,2.4,5.1,1.5,25.39,161.0,0,False
Marinduque,Low,176,16,0.0,2.27,3.8,1.2,13.42,58.0,0,False
Guimaras,Low,169,13,37.38,2.27,4.0,1.2,18.97,88.0,0,False
North Cotabato,Low,167,41,0.0,2.63,5.6,1.5,17.67,96.0,0,False
Zamboanga Sibugay,Low,148,8,0.0,1.96,5.0,1.2,26.44,205.0,0,False
Kalinga,Low,143,15,0.0,2.26,4.0,1.2,26.77,183.0,0,False
Misamis Oriental,Low,135,36,0.0,2.61,4.7,1.4,17.87,168.0,0,False
Dinagat,Low,133,23,300.0,2.45,5.4,1.5,35.08,182.0,0,False
Pampanga,Low,118,13,16.68,2.27,3.8,1.4,43.14,175.0,0,False
Laguna,Low,112,8,0.0,2.0,3.7,1.0,19.89,70.0,0,False
Surigao del Norte,Low,106,32,0.0,2.77,5.0,1.8,15.58,99.0,0,False
Quirino,Low,79,4,0.0,2.06,4.9,1.4,24.42,108.0,0,False
Compostela Valley,Low,75,19,0.0,2.64,4.4,1.8,17.91,58.0,0,False
Surigao del Sur,Low,74,23,0.0,2.7,4.0,1.7,29.96,123.0,0,False
Lanao Del Norte,Low,70,7,0.0,2.28,4.1,1.4,26.69,615.0,0,False
Siquijor,Low,67,7,24.37,2.3,4.4,1.4,30.82,550.0,0,False
Cavite,Low,57,15,0.0,2.4,4.0,1.4,28.25,202.0,0,False
Bulacan,Low,49,4,0.0,1.99,3.3,1.1,21.29,40.0,0,False
Maguindanao Del Sur,Low,43,1,300.0,2.09,3.8,1.4,20.09,139.0,0,False
Sulu,Low,43,32,82.13,3.49,4.8,2.1,149.47,621.0,0,False
Western Samar,Low,40,3,300.0,2.36,3.6,1.7,26.52,107.0,0,False
Misamis Occidental,Low,39,5,3.91,2.32,4.2,1.5,14.64,105.0,0,False
Rizal,Low,39,1,0.0,1.94,3.9,1.1,23.95,47.0,0,False
Aklan,Low,35,9,0.0,2.46,4.0,1.4,15.63,40.0,0,False
Basilan,Low,31,5,47.59,2.41,3.8,1.5,31.29,72.0,0,False
Camiguin,Low,28,4,32.52,2.4,4.0,1.7,17.89,45.0,0,False
Capiz,Low,22,2,0.0,2.55,3.7,1.8,17.86,48.0,0,False
Tawi-tawi,Low,21,21,100.25,4.33,4.8,3.0,274.52,635.0,0,False
Agusan del Norte,Low,20,3,0.0,2.42,3.3,1.8,16.9,33.0,0,False
Agusan del Sur,Low,16,1,0.0,2.67,4.6,2.0,23.38,68.0,0,False
Zamboanga del Norte,Low,12,4,0.0,3.21,5.5,1.9,26.17,94.0,0,False
Zamboanga del Sur,Low,10,1,0.0,2.39,3.3,2.0,20.8,33.0,0,False
Lanao del Sur,Low,9,4,0.0,2.97,5.0,1.9,112.78,588.0,0,False
