province,total_quakes,major_quakes_m3plus,avg_magnitude,max_magnitude,min_magnitude,avg_depth,max_depth
Surigao Del Sur,15905,3395,2.47,7.4,1.1,21.55,209.0
Davao Oriental,9080,3161,2.78,7.4,1.0,42.63,292.0
Surigao Del Norte,8094,1710,2.47,6.2,1.2,20.59,238.0
Davao Occidental,7787,4652,3.2,7.1,1.2,69.96,667.0
Batangas,5793,620,2.18,6.6,1.2,78.21,1068.0
Occidental Mindoro,5399,831,2.38,6.4,1.0,30.54,310.0
Cebu,3289,356,2.21,6.9,1.0,15.62,85.0
Cagayan,3123,811,2.6,6.3,1.3,18.9,224.0
Abra,2854,341,2.28,7.0,1.0,13.83,195.0
Eastern Samar,2668,905,2.76,6.5,1.4,19.95,193.0
Ilocos Norte,2593,504,2.45,5.7,1.1,18.4,333.0
Zambales,2352,323,2.3,6.1,1.1,27.57,172.0
Cotabato,2301,441,2.49,6.6,1.4,21.62,422.0
Masbate,1869,486,2.6,6.6,1.2,11.11,123.0
Ilocos Sur,1825,363,2.5,5.1,1.2,20.26,151.0
Negros Occidental,1766,276,2.44,5.1,1.0,18.19,142.0
Southern Leyte,1696,243,2.36,5.8,1.2,17.83,209.0
Davao Del Sur,1683,412,2.61,6.9,1.4,18.21,247.0
Agusan Del Sur,1593,188,2.31,5.3,1.1,24.87,175.0
Leyte,1580,286,2.46,5.8,1.2,11.53,188.0
Quezon,1534,235,2.34,5.5,1.2,13.44,135.0
Sarangani,1459,253,2.41,6.1,1.3,34.91,572.0
Sultan Kudarat,1387,270,2.5,7.1,1.2,38.24,686.0
Negros Oriental,1349,214,2.43,4.9,1.0,16.52,132.0
Davao De Oro,1248,128,2.26,6.0,1.2,20.56,165.0
Aurora,1242,137,2.26,5.1,1.2,16.44,102.0
Isabela,1203,235,2.48,5.5,1.2,24.72,158.0
Northern Samar,1179,309,2.59,5.7,1.2,25.34,175.0
Pangasinan,1165,230,2.46,5.5,1.2,27.56,211.0
Bohol,1064,90,2.23,5.9,1.2,20.98,587.0
Zamboanga Del Norte,1028,169,2.34,5.4,1.2,24.51,176.0
Batanes,995,550,3.11,6.7,1.4,29.12,219.0
Bukidnon,976,179,2.5,5.9,1.3,10.57,121.0
Camarines Sur,768,113,2.29,4.5,1.2,14.73,102.0
Oriental Mindoro,691,60,2.19,5.1,1.0,19.19,181.0
Agusan Del Norte,680,122,2.44,5.8,1.3,18.06,117.0
La Union,635,99,2.38,5.5,1.2,28.11,113.0
Catanduanes,610,183,2.68,6.2,1.3,23.03,235.0
Dinagat Islands,555,75,2.34,5.7,1.3,44.69,214.0
Antique,529,173,2.76,5.1,1.3,15.17,137.0
Camarines Norte,487,93,2.49,5.3,1.3,14.07,121.0
Zamboanga Del Sur,486,65,2.3,4.9,1.2,21.49,122.0
Lanao Del Sur,435,51,2.33,6.0,1.1,12.31,619.0
Sorsogon,424,108,2.53,5.4,1.1,28.54,198.0
South Cotabato,422,46,2.27,5.0,1.3,26.95,414.0
Nueva Vizcaya,384,39,2.23,4.4,1.3,18.52,96.0
Bataan,373,31,2.16,4.6,1.3,78.3,210.0
Biliran,358,80,2.6,5.0,1.4,10.96,99.0
Apayao,333,24,2.12,4.4,1.3,25.66,119.0
Benguet,326,30,2.18,4.5,1.2,19.63,127.0
Davao Del Norte,322,56,2.48,4.9,1.3,25.07,170.0
Iloilo,310,54,2.48,4.9,1.3,17.78,101.0
Samar,292,37,2.32,5.2,1.2,37.27,233.0
Maguindanao,289,51,2.49,6.4,1.5,35.12,636.0
Albay,276,46,2.36,4.8,1.3,22.35,107.0
Ifugao,226,17,2.05,3.8,1.3,24.16,192.0
Nueva Ecija,220,13,2.05,4.7,1.2,23.73,186.0
Tarlac,218,31,2.24,5.7,1.2,54.19,191.0
Romblon,209,43,2.47,4.8,1.2,14.65,201.0
Maguindanao Del Norte,185,24,2.31,4.9,1.3,23.95,604.0
Mountain Province,180,6,2.02,4.5,1.2,27.31,131.0
Palawan,177,25,2.4,5.1,1.5,25.39,161.0
Marinduque,176,16,2.27,3.8,1.2,13.42,58.0
Guimaras,169,13,2.27,4.0,1.2,18.97,88.0
North Cotabato,167,41,2.63,5.6,1.5,17.67,96.0
Zamboanga Sibugay,148,8,1.96,5.0,1.2,26.44,205.0
Kalinga,143,15,2.26,4.0,1.2,26.77,183.0
Misamis Oriental,135,36,2.61,4.7,1.4,17.87,168.0
Dinagat,133,23,2.45,5.4,1.5,35.08,182.0
Pampanga,118,13,2.27,3.8,1.4,43.14,175.0
Laguna,112,8,2.0,3.7,1.0,19.89,70.0
Surigao del Norte,106,32,2.77,5.0,1.8,15.58,99.0
Quirino,79,4,2.06,4.9,1.4,24.42,108.0
Compostela Valley,75,19,2.64,4.4,1.8,17.91,58.0
Surigao del Sur,74,23,2.7,4.0,1.7,29.96,123.0
Lanao Del Norte,70,7,2.28,4.1,1.4,26.69,615.0
Siquijor,67,7,2.3,4.4,1.4,30.82,550.0
Cavite,57,15,2.4,4.0,1.4,28.25,202.0
Bulacan,49,4,1.99,3.3,1.1,21.29,40.0
Maguindanao Del Sur,43,1,2.09,3.8,1.4,20.09,139.0
Sulu,43,32,3.49,4.8,2.1,149.47,621.0
Western Samar,40,3,2.36,3.6,1.7,26.52,107.0
Misamis Occidental,39,5,2.32,4.2,1.5,14.64,105.0
Rizal,39,1,1.94,3.9,1.1,23.95,47.0
Aklan,35,9,2.46,4.0,1.4,15.63,40.0
Basilan,31,5,2.41,3.8,1.5,31.29,72.0
Camiguin,28,4,2.4,4.0,1.7,17.89,45.0
Capiz,22,2,2.55,3.7,1.8,17.86,48.0
Tawi-tawi,21,21,4.33,4.8,3.0,274.52,635.0
Agusan del Norte,20,3,2.42,3.3,1.8,16.9,33.0
Agusan del Sur,16,1,2.67,4.6,2.0,23.38,68.0
Zamboanga del Norte,12,4,3.21,5.5,1.9,26.17,94.0
Zamboanga del Sur,10,1,2.39,3.3,2.0,20.8,33.0
Lanao del Sur,9,4,2.97,5.0,1.9,112.78,588.0
Cataduanes,7,0,2.47,2.9,2.0,22.29,51.0
Davao del Norte,5,2,2.52,3.5,2.0,15.8,36.0
Compostella Valley,5,0,2.28,2.6,2.0,5.0,13.0
Davao del Sur,4,0,2.3,2.7,1.9,19.0,26.0
Masbate (Ticao Island,3,0,2.3,2.4,2.2,29.33,50.0
 Davao De Oro,3,0,2.47,2.8,2.1,31.67,48.0
Easterm Samar,2,2,3.45,3.5,3.4,11.0,13.0
South Cotobato,2,0,1.9,2.3,1.5,27.5,30.0
(Iloilo,1,0,2.2,2.2,2.2,59.0,59.0
Agusan De Sur,1,0,2.1,2.1,2.1,33.0,33.0
 Occidental Mindoro ,1,0,2.4,2.4,2.4,3.0,3.0
 Bukidnon ,1,0,2.4,2.4,2.4,10.0,10.0
