province,total_quakes,major_quakes_m3plus,avg_magnitude,max_magnitude,min_magnitude,avg_depth,max_depth,min_depth,nearest_fault_distance_km
Abra,2854,341,2.28,7.0,1.0,13.83,195.0,1.0,0.0
Agusan Del Norte,700,125,2.44,5.8,1.3,18.03,117.0,1.0,0.0
Agusan Del Sur,1610,189,2.31,5.3,1.1,24.86,175.0,1.0,0.0
Aklan,35,9,2.46,4.0,1.4,15.63,40.0,1.0,0.0
Albay,276,46,2.36,4.8,1.3,22.35,107.0,1.0,0.0
Antique,529,173,2.76,5.1,1.3,15.17,137.0,1.0,0.0
Apayao,333,24,2.12,4.4,1.3,25.66,119.0,1.0,0.0
Aurora,1242,137,2.26,5.1,1.2,16.44,102.0,1.0,0.0
Basilan,31,5,2.41,3.8,1.5,31.29,72.0,3.0,47.59
Bataan,373,31,2.16,4.6,1.3,78.3,210.0,1.0,38.859
Batanes,995,550,3.11,6.7,1.4,29.12,219.0,0.0,47.554
Batangas,5794,620,2.18,6.6,1.2,78.21,1068.0,0.0,0.0
Benguet,326,30,2.18,4.5,1.2,19.63,127.0,1.0,0.0
Biliran,358,80,2.6,5.0,1.4,10.96,99.0,1.0,0.0
Bohol,1064,90,2.23,5.9,1.2,20.98,587.0,1.0,0.0
Bukidnon,977,179,2.5,5.9,1.3,10.57,121.0,0.0,0.0
Bulacan,49,4,1.99,3.3,1.1,21.29,40.0,3.0,0.0
Cagayan,3123,811,2.6,6.3,1.3,18.9,224.0,1.0,0.0
Camarines Norte,487,93,2.49,5.3,1.3,14.07,121.0,1.0,7.304
Camarines Sur,770,114,2.29,4.5,1.2,14.71,102.0,0.0,0.0
Camiguin,28,4,2.4,4.0,1.7,17.89,45.0,2.0,32.518
Capiz,22,2,2.55,3.7,1.8,17.86,48.0,1.0,0.0
Catanduanes,617,183,2.68,6.2,1.3,23.02,235.0,0.0,72.339
Cavite,57,15,2.4,4.0,1.4,28.25,202.0,1.0,0.0
Cebu,3289,356,2.21,6.9,1.0,15.62,85.0,1.0,0.0
Compostela Valley,1332,147,2.29,6.0,1.2,20.39,165.0,0.0,0.0
Davao Del Norte,328,58,2.48,4.9,1.3,24.94,170.0,1.0,0.0
Davao Del Sur,9476,5065,3.09,7.1,1.2,60.75,667.0,0.0,0.0
Davao Oriental,9083,3161,2.78,7.4,1.0,42.62,292.0,0.0,0.0
Dinagat Islands,688,98,2.36,5.7,1.3,42.83,214.0,1.0,19.725
Eastern Samar,2672,908,2.76,6.5,1.4,19.94,193.0,1.0,0.0
Guimaras,169,13,2.27,4.0,1.2,18.97,88.0,1.0,37.377
Ifugao,226,17,2.05,3.8,1.3,24.16,192.0,1.0,0.0
Ilocos Norte,2593,504,2.45,5.7,1.1,18.4,333.0,1.0,0.0
Ilocos Sur,1825,363,2.5,5.1,1.2,20.26,151.0,1.0,0.0
Iloilo,311,54,2.48,4.9,1.3,17.92,101.0,1.0,0.0
Isabela,1204,235,2.48,5.5,1.2,24.71,158.0,1.0,0.0
Kalinga,143,15,2.26,4.0,1.2,26.77,183.0,1.0,0.0
La Union,636,99,2.38,5.5,1.2,28.11,113.0,1.0,0.0
Laguna,112,8,2.0,3.7,1.0,19.89,70.0,1.0,0.0
Lanao Del Norte,72,8,2.29,4.1,1.4,26.29,615.0,1.0,0.0
Lanao Del Sur,444,55,2.35,6.0,1.1,14.35,619.0,1.0,0.0
Leyte,1580,286,2.46,5.8,1.2,11.53,188.0,0.0,0.0
Maguindanao,332,52,2.44,6.4,1.4,33.17,636.0,1.0,0.0
Maguindanao Del Norte,185,24,2.31,4.9,1.3,23.95,604.0,1.0,0.0
Marinduque,176,16,2.27,3.8,1.2,13.42,58.0,1.0,0.0
Masbate,1872,486,2.6,6.6,1.2,11.14,123.0,0.0,0.0
Metropolitan Manila,1,0,1.1,1.1,1.1,25.0,25.0,25.0,0.0
Misamis Occidental,39,5,2.32,4.2,1.5,14.64,105.0,1.0,3.908
Misamis Oriental,135,36,2.61,4.7,1.4,17.87,168.0,0.0,0.0
Mountain Province,180,6,2.02,4.5,1.2,27.31,131.0,1.0,0.0
Negros Occidental,1767,276,2.44,5.1,1.0,18.19,142.0,1.0,0.0
Negros Oriental,1349,214,2.43,4.9,1.0,16.52,132.0,1.0,0.0
North Cotabato,2468,482,2.5,6.6,1.4,21.35,422.0,1.0,0.0
Northern Samar,1180,309,2.59,5.7,1.2,25.36,175.0,1.0,0.0
Nueva Ecija,221,13,2.06,4.7,1.2,23.87,186.0,1.0,0.0
Nueva Vizcaya,384,39,2.23,4.4,1.3,18.52,96.0,1.0,0.0
Nueva Vizcaya ,1,0,2.4,2.4,2.4,6.0,6.0,6.0,0.0
Occidental Mindoro,5403,832,2.38,6.4,1.0,30.53,310.0,0.0,0.0
Oriental Mindoro,692,61,2.2,5.1,1.0,19.17,181.0,1.0,0.0
Palawan,177,25,2.4,5.1,1.5,25.39,161.0,1.0,24.178
Pampanga,118,13,2.27,3.8,1.4,43.14,175.0,1.0,16.683
Pangasinan,1165,230,2.46,5.5,1.2,27.56,211.0,1.0,0.0
Quezon,1534,235,2.34,5.5,1.2,13.44,135.0,0.0,0.0
Quirino,79,4,2.06,4.9,1.4,24.42,108.0,1.0,0.0
Rizal,39,1,1.94,3.9,1.1,23.95,47.0,4.0,0.0
Romblon,209,43,2.47,4.8,1.2,14.65,201.0,1.0,0.0
Samar,332,40,2.32,5.2,1.2,35.98,233.0,1.0,0.0
Sarangani,1461,254,2.41,6.1,1.3,34.9,572.0,1.0,0.0
Siquijor,68,7,2.3,4.4,1.4,30.68,550.0,1.0,24.374
Sorsogon,424,108,2.53,5.4,1.1,28.54,198.0,1.0,0.0
South Cotabato,424,46,2.27,5.0,1.3,26.95,414.0,1.0,0.0
Southern Leyte,1697,243,2.36,5.8,1.2,17.84,209.0,1.0,0.0
Sultan Kudarat,1388,271,2.5,7.1,1.2,38.22,686.0,1.0,0.0
Sulu,43,32,3.49,4.8,2.1,149.47,621.0,1.0,82.13
Surigao Del Norte,8205,1744,2.47,6.2,1.2,20.53,238.0,0.0,0.0
Surigao Del Sur,15980,3419,2.48,7.4,1.1,21.59,209.0,0.0,0.0
Tarlac,218,31,2.24,5.7,1.2,54.19,191.0,4.0,0.0
Tawi-Tawi,21,21,4.33,4.8,3.0,274.52,635.0,1.0,100.254
Zambales,2352,323,2.3,6.1,1.1,27.57,172.0,1.0,0.0
Zamboanga Del Norte,1040,173,2.35,5.5,1.2,24.53,176.0,1.0,0.0
Zamboanga Del Sur,496,66,2.3,4.9,1.2,21.48,122.0,1.0,0.0
Zamboanga Sibugay,148,8,1.96,5.0,1.2,26.44,205.0,1.0,0.0
